Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham,England,23
2,Mohamed Salah,Liverpool,Egypt,22
3,Bruno Fernandes,Man United,Portugal,18
4,Patrick Bamford,Leeds,England,17
4,Son Heung-Min,Tottenham,South Korea,17
6,Dominic Calvert-Lewin,Everton,England,16
7,Jamie Vardy,Leicester,England,15
8,Ollie Watkins,Aston Villa,England,14
9,Ilkay Gundogan,Man City,Germany,13
9,Alexandre Lacazette,Arsenal,France,13
