Rank,Player,Club,Nationality,Stat
1,Sergio Aguero,Man City,Argentina,26
2,Harry Kane,Tottenham,England,21
3,Diego Costa,Chelsea,Spain,20
4,Charlie Austin,QPR,England,18
5,Alexis Sanchez,Arsenal,Chile,16
6,Saido Berahino,West Brom,Burundi,14
6,Olivier Giroud,Arsenal,France,14
6,Eden Hazard,Chelsea,Belgium,14
9,Christian Benteke,Aston Villa,Belgium,13
10,Graziano Pelle,Southampton,Italy,12
