Rank,Player,Club,Nationality,Stat
1,Cesc Fabregas,Chelsea,Spain,18
2,Santi Cazorla,Arsenal,Spain,11
3,Chris Brunt,West Brom,Northern Ireland,10
3,Angel Di Maria,Man United,Argentina,10
3,Gylfi Sigurdsson,Swansea,Iceland,10
6,Leighton Baines,Everton,England,9
6,Eden Hazard,Chelsea,Belgium,9
6,Jordan Henderson,Liverpool,England,9
9,Sergio Aguero,Man City,Argentina,8
9,Oscar,Chelsea,Brazil,8
