Rank,Player,Club,Nationality,Stat
1,Kevin De Bruyne,Man City,Belgium,16
2,Mohamed Salah,Liverpool,Egypt,12
2,Leandro Trossard,Arsenal,Belgium,12
4,Michael Olise,Crystal Palace,France,11
4,Bukayo Saka,Arsenal,England,11
6,Riyad Mahrez,Man City,Algeria,10
7,Trent Alexander-Arnold,Liverpool,England,9
7,James Maddison,Leicester,England,9
9,Bruno Fernandes,Man United,Portugal,8
9,Christian Eriksen,Man United,Denmark,8
