Rank,Player,Club,Nationality,Stat
1,Mohamed Salah,Liverpool,Egypt,23
1,Son Heung-Min,Tottenham,South Korea,23
3,Cristiano Ronaldo,Man United,Portugal,18
4,Harry Kane,Tottenham,England,17
5,Sadio Mane,Liverpool,Senegal,16
6,Kevin De Bruyne,Man City,Belgium,15
6,Diogo Jota,Liverpool,Portugal,15
6,Jamie Vardy,Leicester,England,15
9,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,14
10,Raheem Sterling,Man City,England,13
