Rank,Player,Club,Nationality,Stat
1,Mohamed Salah,Liverpool,Egypt,13
2,Trent Alexander-Arnold,Liverpool,England,12
3,Harvey Barnes,Leicester,England,10
3,Jarrod Bowen,West Ham,England,10
3,Mason Mount,Chelsea,England,10
3,Andy Robertson,Liverpool,Scotland,10
7,Reece James,Chelsea,England,9
7,Harry Kane,Tottenham,England,9
7,Paul Pogba,Man United,France,9
10,Michail Antonio,West Ham,Jamaica,8
