Rank,Player,Club,Nationality,Stat
1,Kevin De Bruyne,Man City,Belgium,16
2,Leroy Sane,Man City,Germany,15
3,David Silva,Man City,Spain,11
3,Raheem Sterling,Man City,England,11
5,Dele Alli,Tottenham,England,10
5,Christian Eriksen,Tottenham,Denmark,10
5,Riyad Mahrez,Leicester,Algeria,10
5,Paul Pogba,Man United,France,10
5,Mohamed Salah,Liverpool,Egypt,10
10,Henrikh Mkhitaryan,Arsenal,Armenia,9
