Rank,Player,Club,Nationality,Stat
1,Mohamed Salah,Liverpool,Egypt,32
2,Harry Kane,Tottenham,England,30
3,Sergio Aguero,Man City,Argentina,21
4,Jamie Vardy,Leicester,England,20
5,Raheem Sterling,Man City,England,18
6,Romelu Lukaku,Man United,Belgium,16
7,Roberto Firmino,Liverpool,Brazil,15
8,Alexandre Lacazette,Arsenal,France,14
9,Gabriel Jesus,Man City,Brazil,13
10,Eden Hazard,Chelsea,Belgium,12
