Rank,Player,Club,Nationality,Stat
1,Pierre-Emerick Aubameyang,Arsenal,Gabon,22
1,Sadio Mane,Liverpool,Senegal,22
1,Mohamed Salah,Liverpool,Egypt,22
4,Sergio Aguero,Man City,Argentina,21
5,Jamie Vardy,Leicester,England,18
6,Harry Kane,Tottenham,England,17
6,Raheem Sterling,Man City,England,17
8,Eden Hazard,Chelsea,Belgium,16
9,Callum Wilson,Bournemouth,England,14
10,Richalison,Everton,Brazil,13
