Rank,Player,Club,Nationality,Stat
1,Eden Hazard,Chelsea,Belgium,15
2,Ryan Fraser,Bournemouth,Scotland,14
3,Trent Alexander-Arnold,Liverpool,England,12
3,Christian Eriksen,Tottenham,Denmark,12
5,Andy Robertson,Liverpool,Scotland,11
6,Leroy Sane,Man City,Germany,10
6,Raheem Sterling,Man City,England,10
8,Paul Pogba,Man United,France,9
8,Callum Wilson,Bournemouth,England,9
10,Sergio Aguero,Man City,Argentina,8
