Rank,Player,Club,Nationality,Stat
1,Kevin De Bruyne,Man City,Belgium,18
2,Christian Eriksen,Tottenham,Denmark,15
3,Gylfi Sigurdsson,Swansea,Iceland,13
4,Cesc Fabregas,Chelsea,Spain,12
5,Alexis Sanchez,Arsenal,Chile,10
6,Mesut Ozil,Arsenal,Germany,9
6,Pedro,Chelsea,Spain,9
6,Georginio Wijnaldum,Liverpool,Netherlands,9
6,Wifried Zaha,Crystal Palace,Cote D'Ivoire,9
10,Ross Barkley,Everton,England,8
