Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham,England,29
2,Romelu Lukaku,Everton,Belgium,25
3,Alexis Sanchez,Arsenal,Chile,24
4,Sergio Aguero,Man City,Argentina,20
4,Diego Costa,Chelsea,Spain,20
6,Dele Alli,Tottenham,England,18
7,Zlatan Ibrahimovic,Man United,Sweden,17
8,Eden Hazard,Chelsea,Belgium,16
8,Joshua King,Bournemouth,Norway,16
10,Christian Benteke,Liverpool,Belgium,15
