Rank,Player,Club,Nationality,Stat
1,Pedro Neto,Wolves,Portugal,7
2,Kieran Trippier,Newcastle,England,6
3,Jeremy Doku,Man City,Belgium,5
3,James Maddison,Tottenham,England,5
3,James Ward-Prowse,West Ham,England,5
3,Ollie Watkins,Aston Villa,England,5
7,Julian Alvarez,Man City,Argentina,4
7,Vladimir Coufal,West Ham,Czech Repulic,4
7,Conor Gallagher,Chelsea,England,4
7,Darwin Nunez,Liverpool,Uruguay,4
