Rank,Player,Club,Nationality,Stat
1,Erling Haaland,Man City,Norway,14
2,Mohamed Salah,Liverpool,Egypt,10
3,Son Heung-Min,Tottenham,South Korea,9
4,Hwang Hee-Chan,Wolves,South Korea,8
4,Jarrod Bowen,West Ham,England,8
4,Ollie Watkins,Aston Villa,England,8
7,Alexander Isak,Newcastle,Sweden,7
7,Bryan Mbeumo,Brentford,Caneroon,7
7,Dominic Solake,Bournemouth,England,7
7,Callum Wilson,Aston Villa,England,7
