Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham,England,25
2,Sergio Aguero,Man City,Argentina,24
2,Jamie Vardy,Leicester,England,24
4,Romelu Lukaku,Everton,Belgium,18
5,Riyad Mahrez,Leicester,Algeria,17
6,Olivier Giroud,Arsenal,France,16
7,Jermain Defoe,Sunderland,England,15
7,Odion Ighalo,Watford,Nigeria,15
9,Troy Deeney,Watford,England,13
9,Alexis Sanchez,Arsenal,Chile,13
