Rank,Player,Club,Nationality,Stat
1,Mesut Ozil,Arsenal,Germany,19
2,Christian Eriksen,Tottenham,Denmark,13
3,Dimitri Payet,West Ham,France,12
3,Dusan Tadic,Southampton,Serbia,12
5,Riyad Mahrez,Leicester,Algeria,11
5,James Milner,Liverpool,England,11
5,David Silva,Man City,Spain,11
8,Dele Alli,Tottenham,England,9
8,Kevin De Bruyne,Man City,Belgium,9
8,Erik Lamela,Tottenham,Argentina,9
