Rank,Player,Club,Nationality,Stat
1,Kevin De Bruyne,Man City,Belgium,20
2,Trent Alexander-Arnold,Liverpool,England,13
3,Andy Robertson,Liverpool,Scotland,12
4,Mohamed Salah,Liverpool,Egypt,10
4,David Silva,Man City,Spain,10
4,Son Heung-Min,Tottenham,South Korea,10
7,Riyad Mahrez,Man City,Algeria,9
7,Adama Traore,Wolves,Spain,9
9,Roberto Firmino,Liverpool,Brazil,8
9,Harvey Barnes,Leicester,England,8
