Rank,Player,Club,Nationality,Stat
1,Jamie Vardy,Leicester,England,23
2,Pierre-Emerick Aubameyang,Arsenal,Gabon,22
2,Danny Ings,Southampton,England,22
4,Raheem Sterling,Man City,England,20
5,Mohamed Salah,Liverpool,Egypt,19
6,Harry Kane,Tottenham,England,18
6,Sadio Mane,Liverpool,Senegal,18
8,Raul Jimenez,Wolves,Mexico,17
8,Anthony Martial,Man United,France,17
8,Marcus Rashford,Man United,England,17
